Name,Parent,Size,Up to date,Usage,Architecture,Stable,Lightweight,price
2XOS,Debian,270,Discontinued,Desktop Computing,i386,Discontinued,no,free
3CX,Debian,270,Discontinued,Desktop Computing,i386,Discontinued,no,free
4MLinux,Ind,1300,23/07/28,Maintenance multimedia,x86/x64,Yes,no,free
64 Studio,,,,,,,,
Absolute,Slackware,2700,23/08/16,,x86/x64,yes,yes,free
AbulÉdu,,,,,,,,
AcademiX,Debian,1600,21/10/10,Education,x86/x64,yes,no,free
Adamantix,,,,,,,,
ADIOS,,,,,,,,
AgiliaLinux,,,,,,,,
AGNULA,,,,,,,,
AiO,,,,,,,,
Aleader,,,,,,,,
Alinex,,,,,,,,
aLinux,,,,,,,,
AliXe,,,,,,,,
AlmaLinux,Fedora,8900,23/05/10,enteprise ,x86/x64,yes,no,free
Alpine,Ind.,900,23/09/28,routers/vpn,x86/x64,yes,no,free
ALT,Mandrake,8000,22/11/16,enteprise ,x86/x64,yes,no,free
Amarok Live,,,,,,,,
Amber,,,,,,,,
Anarchy,,,,,,,,
Android-x86,,,,,,,,
Ankur Bangla,,,,,,,,
Annvix,,,,,,,,
AnNyung,,,,,,,,
Anonym.OS,,,,,,,,
ANTEMIUM,,,,,,,,
Antergos,,,,,,,,
antiX,Debian,1700,23/08/27,enterprise,x86/x64,yes,yes,free
Antomic,,,,,,,,
APODIO,,,,,,,,
Apricity,,,,,,,,
aptosid,,,,,,,,
Arabbix,,,,,,,,
Arabian,,,,,,,,
Arch,Ind,350,23/11/07,enterprise,x86/x64,yes,no,free
ArchBang,Arch,1000,22/01/24,enterprise,x86/x64,yes,yes,free
Archcraft,Arch,2400,23/07/05,enterprise,x86/x64,yes ,no,free
ArcheOS,Arch,2800,23/06/03,enterprise,x86/x64,yes,no,free
Archie,Arch,,,,x86/x64,,,
ArchLabs,Arch,,,,x86/x64,,,
Archman,Arch,,,,x86/x64,,,
ArchStrike,,,,,,,,
ArcoLinux,Arch,2500,23/06/29,enterprise,x86/x64,yes,no,free
Ares,,,,,,,,
AriOS,,,,,,,,
Ark,,,,,,,,
arkOS,,,,,,,,
Armbian,Debian,1900,23/05/31,ARM Dev,x86/x64,yes,no,free
ArtistX,,,,,,,,
Artix,Arch,1700,23/08/14,enterprise,x86/x64,yes,yes,free
Arudius,,,,,,,,
Arya,,,,,,,,
AsianLinux,,,,,,,,
Asianux,,,,,,,,
ASLinux,,,,,,,,
ASPLinux,,,,,,,,
Asturix,,,,,,,,
Athena,Arch,2600,23/06/23,penetration testing,x86/x64,yes,no,free
Athene,,,,,,,,
ATmission,,,,,,,,
Atomix,,,,,,,,
Audiophile,,,,,,,,
Augustux,,,,,,,,
Aurora,,,,,,,,
Aurora SPARC,,,,,,,,
Aurox,,,,,,,,
AUSTRUMI,,,,,,,,
AV Linux,Debian,4000,23/01/30,audo/production,x86/x64,yes,no,free
BackBox,Debian,4000,23/01/30,penetration testing,x86/x64,yes,no,free
BackSlash,,,,,,,,
Baltix,,,,,,,,
Bardinux,,,,,,,,
Baruwa,,,,,,,,
Batocera,,,,,,,,
Bayanihan,,,,,,,,
BeaFanatIX,,,,,,,,
BeakOS,,,,,,,,
BearOps,,,,,,,,
BeatrIX,,,,,,,,
Bedrock,,,,,,,,
Bee,,,,,,,,
BEE free,,,,,,,,
Beehive,,,,,,,,
BEERnix,,,,,,,,
BeleniX,,,,,,,,
Bella,,,,,,,,
Berry,,,,,,,,
Biadix,,,,,,,,
Bicom,,,,,,,,
BigLinux,,,,,,,,
BinToo,,,,,,,,
